customer_id,age,income,country,account_age_days,is_foreign
C00001,64,64901.42459033698,UAE,3122,0
C00002,40,45852.07096486446,India,1512,1
C00003,43,97376.38446522175,UAE,799,0
C00004,51,73023.04187458726,UK,1245,1
C00005,65,93871.34361038051,USA,504,0
C00006,63,96161.44902843793,Singapore,2777,0
C00007,72,93969.46306764662,Singapore,1297,0
C00008,24,43226.71098540393,UAE,676,0
C00009,41,31980.839302435852,Singapore,1420,0
C00010,65,41249.1875062017,UAE,805,0
C00011,61,43116.4863850413,Singapore,3103,0
C00012,63,61680.4673976837,Singapore,1530,1
C00013,69,56559.149481615874,Singapore,1046,1
C00014,42,76452.83116845832,UAE,367,0
C00015,66,63824.48900445913,USA,1210,1
C00016,22,52577.70414892444,USA,2598,0
C00017,56,67463.68384139118,India,2366,0
C00018,63,76632.45378780071,UK,2118,1
C00019,54,44953.84735702745,UAE,2176,0
C00020,43,84943.0593651357,India,1600,0
C00021,22,60849.08075142902,UAE,3319,0
C00022,35,30646.40736184627,India,422,0
C00023,72,45483.98425220652,USA,593,0
C00024,25,21033.269843150756,UAE,3508,0
C00025,34,15000.0,India,3344,0
C00026,23,55710.10954895502,UK,2634,0
C00027,65,46842.28597996462,Singapore,1393,1
C00028,32,21339.60665846886,UK,2068,1
C00029,48,28938.40718367943,USA,2705,0
C00030,24,40170.135602066955,India,678,0
C00031,45,17112.026141559334,India,3475,0
C00032,45,77446.52965778037,USA,1166,0
C00033,60,24619.48950632882,UK,3488,0
C00034,70,25325.318936598127,USA,728,0
C00035,58,30224.530926905663,USA,2462,0
C00036,23,50118.11913294208,UAE,1737,0
C00037,32,114761.8557008931,India,430,0
C00038,45,86953.35130148332,UAE,2961,1
C00039,37,86541.51313269531,USA,3302,0
C00040,27,38316.25927089554,UAE,1824,0
C00041,53,15000.0,Singapore,518,0
C00042,60,52056.88924418082,UK,2949,0
C00043,44,26502.401229912888,UK,1664,0
C00044,37,40338.15451382974,UK,653,0
C00045,69,15000.0,Singapore,482,1
C00046,30,55539.01575596913,USA,3200,0
C00047,54,53261.35398882157,Singapore,616,1
C00048,57,53172.90941083282,Singapore,283,0
C00049,50,58792.174198960434,UK,1949,0
C00050,23,28569.457459208967,India,986,0
C00051,42,20759.549893180356,Singapore,1557,0
C00052,28,73612.53811227356,India,430,0
C00053,43,69027.20888792869,UAE,592,1
C00054,48,141832.85643134778,India,255,0
C00055,54,90933.00341960957,UAE,3097,0
C00056,40,85160.86711413201,Singapore,576,0
C00057,27,15000.0,India,1798,1
C00058,50,42705.966187789534,USA,331,1
C00059,44,24596.18845794785,USA,3357,0
C00060,39,15000.0,USA,1788,1
C00061,44,69053.37652705937,UK,184,0
C00062,47,17593.973898785436,USA,3205,0
C00063,50,21229.757107196634,UK,2836,0
C00064,71,91460.1381251583,USA,2485,1
C00065,66,65451.43058918144,Singapore,2398,0
C00066,67,165581.94471964164,Singapore,1936,0
C00067,44,26815.243563872846,India,604,1
C00068,43,42895.44179779974,UK,2647,0
C00069,54,23206.391791123307,UAE,1625,0
C00070,26,39955.482578157986,Singapore,803,0
C00071,61,121671.07872177387,Singapore,2733,1
C00072,63,105302.41274961599,India,686,0
C00073,47,97789.45382778393,UAE,3575,1
C00074,44,36981.75202969845,USA,1961,0
C00075,55,39972.58726548897,USA,517,1
C00076,22,40464.5928046825,UAE,733,0
C00077,33,15000.0,UK,1709,0
C00078,43,105311.47393255538,USA,3386,0
C00079,33,63314.58284438685,UK,2551,0
C00080,60,73239.02160288011,Singapore,1342,0
C00081,26,37398.57606117451,Singapore,2879,0
C00082,31,54176.12332870448,UK,2519,0
C00083,37,108006.27888289974,UK,526,1
C00084,53,62416.245117524224,India,881,0
C00085,54,97580.50448436057,UAE,2768,1
C00086,33,15000.0,India,1470,0
C00087,33,29930.75518049945,UK,3354,0
C00088,56,23957.473237865375,USA,119,0
C00089,25,32319.057291673653,UK,3602,0
C00090,32,75488.06291063075,UAE,3477,0
C00091,31,31108.974282046616,UAE,2534,0
C00092,56,76302.63949856977,USA,1152,0
C00093,45,88329.94687365275,UAE,3470,0
C00094,44,32252.858334925102,USA,2944,0
C00095,69,50364.39527219676,USA,1395,0
C00096,40,77928.02251922237,USA,1665,0
C00097,73,59724.99057465326,India,3607,0
C00098,74,46095.70836896946,UAE,3200,0
C00099,74,15000.0,USA,1092,0
C00100,63,58079.52962757616,UK,3012,1
C00101,68,104409.99727636723,Singapore,3110,0
C00102,65,62137.48685352574,USA,3354,1
C00103,30,15000.0,UK,2872,0
C00104,26,38495.37421415715,UAE,3266,0
C00105,43,81820.77389540905,Singapore,1710,1
C00106,46,57124.55754865819,UAE,1185,0
C00107,65,45084.042096110956,India,743,1
C00108,60,105823.34162357498,India,202,0
C00109,49,29529.721966395384,UAE,924,0
C00110,22,48554.135433925614,India,2026,0
C00111,46,33522.25455376788,USA,963,0
C00112,65,15000.0,UAE,2749,0
C00113,42,41977.98086349862,India,2841,0
C00114,56,46884.766477100035,India,1585,0
C00115,36,35843.67427646392,USA,1426,0
C00116,24,33314.56562594035,USA,3048,0
C00117,29,115694.08799653017,UK,1401,0
C00118,29,25751.051439345454,UK,3417,0
C00119,41,15000.0,UAE,2809,0
C00120,34,60874.29376415906,India,3354,1
C00121,46,100540.54893816863,UK,39,1
C00122,71,15000.0,India,906,0
C00123,39,91987.89943558199,USA,1832,0
C00124,46,36577.159272255856,India,2872,0
C00125,26,56560.492768284224,UAE,1923,1
C00126,44,35468.72924092089,UAE,2754,0
C00127,30,15000.0,USA,80,0
C00128,25,30882.934037723677,USA,910,0
C00129,24,49950.921000677066,India,3407,1
C00130,65,37219.02984306741,UAE,3067,1
C00131,68,19388.502582135356,UAE,2930,0
C00132,32,41927.16686213149,India,2180,0
C00133,48,15000.0,India,476,0
C00134,59,93330.16375945433,USA,3061,1
C00135,38,56602.22986410863,UAE,826,0
C00136,38,15000.0,UK,2862,0
C00137,74,61521.963468179216,UK,234,0
C00138,64,49019.157557177205,India,1936,0
C00139,32,120259.25607538986,Singapore,389,0
C00140,46,16944.35600054718,India,1917,0
C00141,72,20428.218609933687,India,1058,0
C00142,63,65121.39546553533,UAE,2611,0
C00143,47,46789.08920136326,UK,1998,0
C00144,66,18942.730327418776,India,3174,0
C00145,51,108927.589009847,India,2908,0
C00146,38,44083.34987439429,UK,2881,1
C00147,36,27907.63483227061,UK,57,0
C00148,45,67385.13204649562,UK,394,0
C00149,64,76005.4719002643,Singapore,3375,0
C00150,56,64131.10494254063,India,3116,0
C00151,60,26867.4037848668,USA,1326,0
C00152,47,67285.23798413304,Singapore,566,1
C00153,24,100614.24905217695,USA,2186,0
C00154,57,76449.19270848352,UK,652,0
C00155,62,18882.61537020631,UAE,1571,1
C00156,55,44289.83965749176,India,2005,0
C00157,74,64897.34476894398,UAE,1763,0
C00158,69,44172.45835297897,Singapore,3451,0
C00159,30,25142.48686943794,India,272,0
C00160,58,33644.92402004468,Singapore,949,0
C00161,25,61707.59806949426,USA,1659,0
C00162,72,47452.73502512503,USA,223,0
C00163,65,15000.0,UAE,2403,1
C00164,25,66300.80577139805,India,753,0
C00165,47,36241.42169171003,UAE,1947,0
C00166,57,40798.508020345485,UAE,2056,0
C00167,26,27560.900305205294,UK,2249,0
C00168,61,15000.0,UK,1649,0
C00169,32,83189.87314485328,India,1148,1
C00170,65,73149.14447904009,UK,363,1
C00171,43,70043.02855270138,Singapore,1885,0
C00172,32,44323.77021512968,USA,1282,0
C00173,26,40445.64468048982,India,3480,0
C00174,25,40428.28936800971,USA,1802,0
C00175,61,34976.40852747219,India,2499,0
C00176,36,107210.56705731667,USA,2742,0
C00177,74,70604.95371627939,India,3140,0
C00178,27,15000.0,India,2468,0
C00179,68,23543.633148678073,UAE,1342,0
C00180,60,65378.14917128663,India,449,1
C00181,48,74844.60471170316,USA,1307,0
C00182,23,80296.8488314898,UK,546,1
C00183,52,81126.19832773697,Singapore,1930,0
C00184,36,34699.50803435759,UAE,3362,0
C00185,48,92427.53787837242,India,2832,0
C00186,47,35792.33657068674,India,3384,0
C00187,68,15000.0,UK,2379,0
C00188,47,94881.3293446755,UAE,3035,0
C00189,64,76035.47109989547,Singapore,3081,0
C00190,25,21904.5794750979,UAE,2965,0
C00191,52,86149.11941902245,UK,1958,0
C00192,50,70172.75056685279,USA,2856,0
C00193,42,126160.73305212459,USA,1362,0
C00194,73,65718.58001323382,USA,146,0
C00195,47,43699.49904874718,India,415,0
C00196,48,21573.806381422633,UK,2424,0
C00197,72,42212.25945909186,USA,2020,0
C00198,74,15000.0,USA,2254,0
C00199,71,22792.895175747373,UAE,3150,0
C00200,41,28381.03294090449,USA,718,0
C00201,61,53295.58840864233,USA,356,0
C00202,34,83889.48454917112,India,981,1
C00203,66,32790.13979359291,UAE,315,1
C00204,40,33594.23176278824,UK,798,0
C00205,49,91657.46807120864,USA,2191,0
C00206,72,15000.0,Singapore,1950,0
C00207,31,53291.97917563379,UK,1931,0
C00208,54,44481.91533773064,Singapore,1853,0
C00209,24,47323.3647321899,India,1820,0
C00210,68,50899.509035814735,UAE,2656,1
C00211,56,101499.73329364171,India,481,1
C00212,42,63229.045455838066,UK,2084,0
C00213,69,70665.14741098354,UAE,944,0
C00214,39,64003.476507945874,UK,1950,1
C00215,23,15000.0,India,500,0
C00216,41,25510.837728354632,UAE,834,0
C00217,65,15000.0,India,1553,1
C00218,65,100893.69104870115,USA,2791,0
C00219,53,49403.30811527629,USA,3216,0
C00220,30,60009.30594351792,UK,266,0
C00221,67,68521.69429160976,Singapore,2743,0
C00222,66,15000.0,UK,834,0
C00223,38,15000.0,UAE,3254,0
C00224,33,66555.90965928503,UAE,371,0
C00225,74,98616.0033549763,UK,1738,1
C00226,42,97114.83905783416,Singapore,731,0
C00227,57,39559.60741109483,India,823,0
C00228,32,55956.75088688875,India,3613,1
C00229,55,72441.04177885175,UAE,3413,0
C00230,57,95029.1489169287,Singapore,3568,0
C00231,66,49839.905874900105,India,511,0
C00232,23,30236.9352265593,UAE,2150,0
C00233,64,48950.34528509115,UK,54,0
C00234,24,103124.0190690653,UK,1282,0
C00235,70,40766.431499605635,UAE,1070,1
C00236,70,30233.04734071391,Singapore,1371,1
C00237,38,70748.62042852602,UAE,2451,0
C00238,29,88584.45365319328,USA,2543,0
C00239,44,62888.546573977575,UK,3058,0
C00240,28,56230.630614893336,UAE,3620,0
C00241,51,48813.34538430035,Singapore,964,0
C00242,63,70445.02092117873,USA,3627,0
C00243,55,36965.11317703054,India,2882,0
C00244,47,40724.83629594082,Singapore,68,0
C00245,46,93409.336530612,UAE,2799,0
C00246,66,55896.64329534724,UK,1161,0
C00247,56,71401.98770616337,India,3140,0
C00248,50,51410.51639371235,USA,506,0
C00249,65,127931.1392970315,USA,295,0
C00250,60,30488.871677899195,Singapore,418,0
C00251,51,49734.07932030867,UK,2401,0
C00252,58,45959.817377522064,USA,461,0
C00253,70,48959.45337839657,USA,3445,0
C00254,58,57026.44197609562,UAE,968,0
C00255,55,74946.28273127848,USA,2641,0
C00256,29,56228.380646841935,Singapore,1363,0
C00257,55,15000.0,USA,2295,0
C00258,24,52218.88892220704,UAE,1826,0
C00259,41,52896.357906163255,UK,1806,0
C00260,63,15000.0,India,2767,0
C00261,68,117070.24060953423,USA,2406,1
C00262,58,30021.845516138113,UK,1320,1
C00263,30,31616.339285468413,India,950,1
C00264,63,38368.95320192048,USA,1516,0
C00265,45,24483.306240134134,Singapore,1004,0
C00266,26,53142.05895914391,UK,943,0
C00267,26,70842.83092539619,UAE,622,0
C00268,66,18175.196124977112,UAE,2192,1
C00269,48,89716.2441136164,UAE,1802,0
C00270,45,16045.51573601913,India,2413,0
C00271,46,74614.46543592092,UAE,1223,0
C00272,48,65218.22093321893,Singapore,2084,1
C00273,52,48751.35520122455,UK,3495,1
C00274,74,66681.69943486567,UK,2433,0
C00275,23,25676.72240321045,UAE,3147,0
C00276,62,75867.89074390636,USA,389,0
C00277,56,69364.52543423226,India,2491,0
C00278,62,114897.6416991638,UK,1465,0
C00279,71,55266.37489671524,Singapore,760,0
C00280,33,62255.370451322786,USA,915,0
C00281,71,35596.043969124476,UAE,745,0
C00282,56,53834.08092100348,Singapore,2458,0
C00283,32,84098.14315113681,UK,2036,0
